numeric_id_1,numeric_id_2
98343,14149
98343,58736
98343,1407
98343,1514
98343,15712
98343,12543
98343,3635
98343,495
98343,11665
98343,1679
98343,12386
98343,89631
98343,11342
98343,14528
98343,10408
98343,3181
98343,40675
98343,95914
98343,15513
98343,12483
98343,16783
98343,12227
98343,87516
98343,10697
98343,10372
98343,66893
98343,75403
98343,14308
98343,44326
98343,95697
98343,4885
98343,59892
98343,1591
98343,6315
98343,90148
98343,78899
98343,3052
98343,5423
98343,90697
141493,3684
141493,3006
141493,5401
141493,1576
141493,6284
141493,105
141493,1966
141493,8099
141493,8713
141493,1512
141493,1705
141493,6579
141493,6461
141493,9168
141493,8439
141493,1419
141493,7977
141493,8376
141493,1097
141493,3718
141493,1344
141493,1031
141493,6679
141493,1449
141493,2432
141493,8748
141493,1729
141493,5013
141493,5051
141493,8216
141493,1085
141493,1053
141493,135
141493,6038
141493,1509
141493,1134
141493,5328
141493,739
141493,9068
141493,1339
141493,4963
141493,5485
141493,1478
141493,421
141493,7302
141493,7901
141493,1826
141493,1117
141493,5501
141493,5587
141493,1382
141493,131
141493,4176
141493,1299
141493,9617
141493,1552
141493,1311
141493,3404
141493,5215
141493,3482
141493,6486
141493,1354
141493,359
141493,1956
141493,5554
141493,3952
141493,1318
141493,114
141493,1546
141493,1565
141493,5291
141493,1028
141493,1115
141493,119
141493,5309
141493,5464
141493,524
141493,1343
141493,1467
141493,4769
141493,4705
141493,1726
141493,4577
141493,1521
141493,8872
141493,6563
141493,8431
141493,1284
141493,3493
141493,7
141493,1353
141493,1766
141493,1325
141493,1059
141493,7883
141493,5813
141493,8021
141493,918
141493,6017
141493,1021
141493,1227
141493,7733
141493,1678
141493,3788
141493,2524
141493,1493
141493,2745
141493,9936
141493,1123
141493,3867
141493,2623
141493,5927
141493,3332
141493,1195
141493,7104
141493,6194
141493,1368
141493,1172
141493,363
141493,9796
141493,6991
141493,1407
141493,9954
141493,2655
141493,8079
141493,8129
141493,5113
141493,1026
141493,3803
141493,378
141493,15
141493,4831
141493,647
141493,702
141493,119
141493,206
141493,7459
141493,6869
141493,1203
141493,1068
141493,496
141493,2975
141493,2873
141493,1175
141493,302
141493,8617
141493,2903
141493,6986
141493,1105
141493,6924
141493,6578
141493,1555
141493,1617
141493,5477
141493,1288
141493,5172
141493,1638
141493,8822
141493,846
141493,3155
141493,1282
141493,4354
141493,1051
141493,1769
141493,1442
141493,1336
141493,3571
141493,1506
141493,3116
141493,3036
141493,2237
141493,1457
141493,8264
141493,2085
141493,7614
141493,6259
141493,1003
141493,4735
141493,7856
141493,6354
141493,6156
141493,3801
141493,1512
141493,8021
141493,6036
141493,2729
141493,8116
141493,1196
141493,8024
141493,873
141493,4486
141493,522
141493,6852
141493,3352
141493,6158
141493,7126
141493,4607
141493,723
141493,5536
141493,1326
141493,1081
141493,131
141493,3199
141493,1001
141493,115
141493,6961
141493,2348
141493,7325
141493,1347
141493,4855
141493,1648
141493,527
141493,576
141493,1141
141493,3112
141493,8115
141493,6581
141493,1182
141493,5255
141493,1131
141493,6342
141493,1159
141493,8978
141493,8932
141493,4167
141493,1159
141493,7571
141493,1036
141493,8715
141493,2963
141493,2777
141493,8103
141493,9824
141493,9142
141493,8283
141493,1558
141493,1649
141493,967
141493,7409
141493,8171
141493,1241
141493,4604
141493,6142
141493,1213
141493,1563
141493,7644
141493,1014
141493,1102
141493,2188
141493,4937
141493,8657
141493,1253
141493,1251
141493,1271
141493,1423
141493,1338
141493,6723
141493,739
141493,8675
141493,5173
141493,8755
141493,6285
141493,5302
141493,178
141493,1667
141493,2615
141493,9664
141493,1521
141493,3629
141493,9021
141493,3566
141493,5838
141493,1548
141493,6273
141493,9729
141493,2807
141493,6786
141493,1001
141493,2719
141493,1462
141493,9631
141493,1277
141493,1296
141493,1525
141493,1042
141493,2755
141493,2305
141493,1443
141493,3363
141493,1588
141493,4649
141493,2081
141493,1054
141493,1035
141493,914
141493,8303
141493,8004
141493,7732
141493,6937
141493,5551
141493,9653
141493,1635
141493,6212
141493,1623
141493,1142
141493,9967
141493,8002
141493,63
141493,7516
141493,1113
141493,2339
141493,7115
141493,1755
141493,8591
141493,1207
141493,4934
141493,5165
141493,531
141493,7358
141493,7818
141493,2797
141493,1383
141493,7484
141493,8491
141493,5221
141493,1105
141493,679
141493,2011
141493,1492
141493,1426
141493,1379
141493,1441
141493,8676
141493,1628
141493,1831
141493,101
141493,8926
141493,3226
141493,1407
141493,6555
141493,6932
141493,1254
141493,1222
141493,8557
141493,1439
141493,1097
141493,1334
141493,2295
141493,3688
141493,1401
141493,6693
141493,1501
141493,1488
141493,4698
141493,2175
141493,6394
141493,7962
141493,4818
141493,445
141493,628
141493,1939
141493,1219
141493,5059
141493,1425
141493,1366
141493,1521
141493,9942
141493,782
141493,1131
141493,5234
141493,1371
141493,1208
141493,9244
141493,1253
141493,1644
141493,3136
141493,9983
141493,1169
141493,1144
141493,1102
141493,3085
141493,3085
141493,1193
141493,5201
141493,9701
141493,1662
141493,1459
141493,1163
141493,1623
141493,6958
141493,1634
141493,1241
141493,1323
141493,6748
141493,4655
141493,6513
141493,1193
141493,7136
141493,1711
141493,4792
141493,5534
141493,4353
141493,1586
141493,8876
141493,9747
141493,4774
141493,9014
141493,2271
141493,456
141493,1664
141493,4102
141493,2725
141493,7628
141493,619
141493,5723
141493,1252
141493,3909
141493,3475
141493,1616
141493,157
141493,9261
141493,9234
141493,5167
141493,1465
141493,4409
141493,6274
141493,8433
141493,1367
141493,8267
141493,4313
141493,3995
141493,3009
141493,1261
141493,1145
141493,1587
141493,1132
141493,1008
141493,795
141493,1518
141493,1538
141493,9551
141493,1174
141493,1515
141493,1225
141493,5088
141493,7008
141493,7161
141493,1565
141493,5575
141493,1608
141493,2602
141493,1564
141493,7991
141493,6645
141493,1197
141493,3004
141493,2526
141493,9868
141493,69
141493,4475
141493,2485
141493,8424
141493,432
141493,8347
141493,2474
141493,845
141493,1084
141493,1403
